first_gold_rank,hit@1,hit@10,hit@20,hit@3,hit@5,latency_ms,mrr,n_gold,n_retrieved_passages,ndcg@1,ndcg@10,ndcg@20,ndcg@3,ndcg@5,precision@1,precision@10,precision@20,precision@3,precision@5,recall@1,recall@10,recall@20,recall@3,recall@5,n,config,strategy,retriever,transform,rerank,expansion,errors,seconds
1.4,0.8,1.0,1.0,1.0,1.0,1214.4,0.8666666666666666,8.0,10.0,0.8,0.6478445366798857,0.6018444237782895,0.7226294385530917,0.7226294385530917,0.8,0.3,0.15,0.5333333333333333,0.48,0.33611111111111114,0.5348484848484849,0.5348484848484849,0.40151515151515155,0.4737373737373737,5,passage+bm25,passage,bm25,none,False,none,0,7.5
1.8,0.8,1.0,1.0,0.8,1.0,2851.0,0.8400000000000001,8.0,10.0,0.8,0.6941121498779588,0.6386395270092458,0.7226294385530917,0.7488704540555601,0.8,0.36,0.18,0.5333333333333333,0.52,0.33611111111111114,0.5752525252525252,0.5752525252525252,0.4083333333333333,0.4987373737373737,5,passage+hybrid,passage,hybrid,none,False,none,0,15.1
